Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source,EID
The D4 flavor symmetry in 3-3-1 model with neutral leptons,2013,International Journal of Modern Physics A,28,32,1350159,,,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891881717&partnerID=40&md5=770435587c6d713bec35b98a2a971eb0,Article,Scopus,2-s2.0-84891881717
Investigation of saccharomyces cerevisiae in fermented mulberry juice,2013,Middle East Journal of Scientific Research,17,6,,814,820,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890300313&partnerID=40&md5=31446201cb88b5324845cbbc0529128d,Article,Scopus,2-s2.0-84890300313
Application of natural fermentation to ferment mulberry juice into alcoholic beverage,2013,Middle East Journal of Scientific Research,17,6,,775,779,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890305308&partnerID=40&md5=77a7ae6e4daedb5a511d1ecb40f417c9,Article,Scopus,2-s2.0-84890305308
State governance of pesticide use and trade in Vietnam,2013,NJAS - Wageningen Journal of Life Sciences,67,,,19,26,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889880006&partnerID=40&md5=3209479e1ba76a7204c6436f5be17bd0,Article,Scopus,2-s2.0-84889880006
"Food safety and the political economy of food governance: The case of shrimp farming in Nam Dinh Province, Vietnam",2013,Journal of Peasant Studies,40,4,,703,719,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890179993&partnerID=40&md5=6c81a3200128d2521345f48b1ce7dce8,Article,Scopus,2-s2.0-84890179993
A rare variant of alpha I antitrypsin mutations detected in Vietnamese children with liver disease,2013,Annals of Clinical Biochemistry,50,4,,339,344,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890204968&partnerID=40&md5=e7ba62daa88cc13d394c6f9b7f79c266,Article,Scopus,2-s2.0-84890204968
"Simulation of flash-muddy flash flooding and inundation of Western Tamdao mountain region, Vinh Phuc province, Viet Nam using hydro-geomorphology",2013,International Journal of Geoinformatics,9,3,,39,47,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890145586&partnerID=40&md5=3b35c8592137f998e09050557f05a2b7,Article,Scopus,2-s2.0-84890145586
The study on crystal structure of Ni deposits plated in supercritical co2 method,2013,International Journal of Materials and Structural Integrity,7,4,,232,240,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889652293&partnerID=40&md5=44f317c16a2cead049a92efdec051d5e,Article,Scopus,2-s2.0-84889652293
The structural and dynamic properties of cobalt metal under temperature,2013,Modern Physics Letters B,27,30,1350223,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888384956&partnerID=40&md5=7470ea08f10e5bd95d77261b9ca34cc7,Article,Scopus,2-s2.0-84888384956
Coupled points in ordered generalized metric spaces and application to integro-differential equations,2013,"Analele Stiintifice ale Universitatii Ovidius Constanta, Seria Matematica",21,3,,155,180,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888625461&partnerID=40&md5=68a5408e671aa1da51ca4b014c60c00e,Article,Scopus,2-s2.0-84888625461
Optimum shape of constant stress toroidal shells,2013,"Journal of Pressure Vessel Technology, Transactions of the ASME",135,2,24501,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888585599&partnerID=40&md5=8fc58f5652595f1d504857e2810b4bdf,Article,Scopus,2-s2.0-84888585599
